author,name,rank,date,duration,id,popularity,album_Name,albumType,releaseDate,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,timeSig
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,85,2006,282093,5a4AQWs84xeEyYUd1iC2Pn,54,On Top Of Our Game,album,2006-01-01,True,0.781,0.625,7,-9.139,1,0.373,0.00447,0,0.185,0.679,83.024,4
Chris Brown,Say Goodbye,86,2006,289760,5F7IJrXD6Fa3EmqoYE0gU4,70,Chris Brown (Expanded Edition),album,2005,False,0.8,0.502,1,-6.062,1,0.0371,0.00167,0,0.0784,0.388,115.091,4
John Mayer,Waiting On The World To Change,87,2006,201173,5imShWWzwqfAJ9gXFpGAQh,77,Continuum,album,2006-09-11,False,0.578,0.756,2,-5.82,1,0.115,0.157,0.000232,0.249,0.663,176.739,4
Young Jeezy Featuring Akon,Soul Survivor,88,2006,280013,0Ss50OU9tCozI7JIywkv14,68,Let's Get It: Thug Motivation 101,album,2005,True,0.682,0.483,10,-7.718,1,0.0451,0.00103,0,0.159,0.108,84.012,4
The Black Eyed Peas,Pump It,89,2006,217720,6E5pe8Zb3Od3ToEBwRxHSt,11,Party Harty Vol.3,album,2012-04-28,False,0.736,0.824,1,-3.401,0,0.145,0.000628,0.942,0.325,0.755,153.609,4
Eminem,When I'm Gone,90,2006,281120,2lRI7n5b9jlPYsEpRuots6,65,When I'm Gone,single,2005-12-06,True,0.608,0.745,10,-5.496,0,0.365,0.0551,0,0.27,0.725,150.068,4
Madonna,Hung Up,91,2006,337733,3850dYVgOFIXJh5U4BFEWH,78,Confessions on a Dance Floor,album,2005-11-11,False,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,4
Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,92,2006,236600,5MYFw4T2gy52pOGBN4EYHS,71,Most Known Unknown (Explicit),album,2005-09-27,True,0.789,0.881,11,-5.758,1,0.0331,0.109,0,0.355,0.647,133.299,4
Keyshia Cole,Love,93,2006,255333,0W4NhJhcqKCqEP2GIpDCDq,85,The Way It Is,album,2005-01-01,False,0.688,0.519,5,-4.285,1,0.0283,0.064,0,0.1,0.318,116.714,4
Ne-Yo,When You're Mad,94,2006,222000,5FXOEdfNW7nYQrBWtW49Cl,58,In My Own Words,album,2006-01-01,False,0.66,0.548,6,-7.127,1,0.215,0.364,0,0.108,0.436,86.947,4
T.I.,Why You Wanna,95,2006,215000,1g0oI97rPdYuWDIpkbtQdv,60,King,album,2006-03-26,True,0.802,0.772,1,-4.893,0,0.192,0.358,0,0.0603,0.654,96.046,4
P!nk,Stupid Girls,96,2006,197173,1Ab6RxeKl3e07zP7Get7CX,60,I'm Not Dead,album,2006-04-04,True,0.683,0.886,4,-5.045,0,0.071,0.000738,0.00188,0.0524,0.566,100.04,4
Gorillaz,Feel Good Inc,97,2006,222640,0d28khcov6AiegSCpG5TuT,86,Demon Days,album,2005-05-23,False,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4
T-Pain,I'm Sprung,98,2006,231040,0DLOyyQvwPTSDKuhpzMMwA,74,Rappa Ternt Sanga (Expanded Edition),album,2005-12-06,False,0.728,0.327,0,-11.596,0,0.0999,0.0948,0,0.103,0.195,100.0,4
Taylor Hicks,Do I Make You Proud,99,2006,248693,3lxFENvLW8nxXAbNfkZ7IJ,35,Do I Make You Proud / Takin' It To The Streets,single,2006-06-13,False,0.463,0.524,1,-8.207,1,0.0316,0.026,0,0.102,0.308,144.055,4
Teddy Geiger,For You I Will (Confidence),100,2006,218826,1u5UqFrPc3h6FMQGS1kw9M,28,Sharkbait,single,2020-09-15,False,0.676,0.833,5,-5.093,0,0.0345,0.0589,0.553,0.0693,0.809,140.02,4
Beyonce,Irreplaceable,1,2007,227853,6RX5iL93VZ5fKmyvNXvF1r,73,B'Day Deluxe Edition,album,2007-05-29,False,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,4
Rihanna Featuring Jay-Z,Umbrella,2,2007,275986,2yPoXCs7BSIUrucMdK5PzV,75,Good Girl Gone Bad,album,2007-01-01,False,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,4
Gwen Stefani Featuring Akon,The Sweet Escape,3,2007,246466,66ZcOcouenzZEnzTJvoFmH,76,The Sweet Escape,album,2006-01-01,False,0.756,0.77,1,-3.502,1,0.0343,0.191,0,0.178,0.73,119.961,4
